# Bearings,Reorientation_Speeds
-1.003422391177061854e+02,0.000000000000000000e+00
-1.026426784669312724e+02,0.000000000000000000e+00
-1.049024363177336454e+02,0.000000000000000000e+00
-1.071157556472250576e+02,0.000000000000000000e+00
-1.092776651960177787e+02,0.000000000000000000e+00
-1.113840048653131873e+02,0.000000000000000000e+00
-1.142660325969723374e+02,0.000000000000000000e+00
-1.170419055516325386e+02,0.000000000000000000e+00
-1.196936246564821431e+02,0.000000000000000000e+00
-1.222029365251698323e+02,0.000000000000000000e+00
-1.222029365251698323e+02,0.000000000000000000e+00
-1.236749490514172010e+02,0.000000000000000000e+00
-1.247466824415766382e+02,0.000000000000000000e+00
-1.254952980628487182e+02,0.000000000000000000e+00
-1.259835402672331952e+02,0.000000000000000000e+00
-1.262624745240580637e+02,0.000000000000000000e+00
-1.263739148593035964e+02,0.000000000000000000e+00
-1.263524331532360918e+02,0.000000000000000000e+00
-1.262269693466511171e+02,0.000000000000000000e+00
-1.262269693466511171e+02,0.000000000000000000e+00
-1.290090341446843354e+02,0.000000000000000000e+00
-1.316833736747836667e+02,0.000000000000000000e+00
-1.342440718130734467e+02,0.000000000000000000e+00
-1.366854294007544866e+02,0.000000000000000000e+00
-1.390018893020586006e+02,0.000000000000000000e+00
-1.411879687484117767e+02,0.000000000000000000e+00
-1.432382039274907868e+02,0.000000000000000000e+00
-1.451471120632736245e+02,0.000000000000000000e+00
-1.451471120632736245e+02,0.000000000000000000e+00
-1.271218238203762212e+02,0.000000000000000000e+00
-1.283557072888546600e+02,-1.800000000000011369e+01
-1.295489280503448128e+02,-1.800000000000011369e+01
-1.307024786405784482e+02,-1.800000000000011369e+01
-1.318174154334579953e+02,-1.800000000000011369e+01
-1.328948423391136373e+02,-1.800000000000011369e+01
-1.339358964540247996e+02,-1.800000000000011369e+01
-1.349417355628023927e+02,-1.800000000000011369e+01
-1.359135273671228674e+02,-1.800000000000011369e+01
-1.359135273671228674e+02,-1.800000000000011369e+01
-1.393814888494413822e+02,0.000000000000000000e+00
-1.409882088361495676e+02,0.000000000000000000e+00
-6.775330171770616516e+01,0.000000000000000000e+00
-6.952968496006573673e+01,-7.200000000000002842e+01
-7.134814638681751831e+01,-7.200000000000002842e+01
-7.320640948633163703e+01,-7.200000000000002842e+01
-7.510176307780804450e+01,-7.200000000000002842e+01
-7.703106306109025070e+01,-7.200000000000002842e+01
-7.899074492458785812e+01,-7.200000000000002842e+01
-8.097684781513420660e+01,-7.200000000000002842e+01
-8.298505047065346218e+01,-7.200000000000002842e+01
-8.501071872186167866e+01,-7.200000000000002842e+01
-8.501071872186167866e+01,0.000000000000000000e+00
-8.704896362374083196e+01,0.000000000000000000e+00
-8.704896362374083196e+01,0.000000000000000000e+00
-8.588237906821059653e+01,0.000000000000000000e+00
-8.235739529582453144e+01,0.000000000000000000e+00
-7.743878662117802492e+01,0.000000000000000000e+00
-7.177197956523781386e+01,0.000000000000000000e+00
-6.582791297534285491e+01,0.000000000000000000e+00
-7.177197956523781386e+01,0.000000000000000000e+00
-7.743878662117799649e+01,0.000000000000000000e+00
-8.235739529582453144e+01,0.000000000000000000e+00
-8.588237906821059653e+01,0.000000000000000000e+00
-8.588237906821059653e+01,0.000000000000000000e+00
-8.235739529582453144e+01,0.000000000000000000e+00
-1.494387866211781102e+02,0.000000000000000000e+00
-1.501807210952810294e+02,7.200000000000008527e+01
-1.508905816048882116e+02,7.200000000000008527e+01
-1.515701995689424280e+02,7.200000000000008527e+01
-1.522212877763996630e+02,7.200000000000008527e+01
-1.528454477483654728e+02,7.200000000000008527e+01
-1.534441768704666060e+02,7.200000000000008527e+01
-1.540188752373011880e+02,7.200000000000008527e+01
-1.545708521716646544e+02,7.200000000000008527e+01
-1.551013323971592399e+02,7.200000000000008527e+01
-1.551013323971592399e+02,0.000000000000000000e+00
-1.556114618547667305e+02,0.000000000000000000e+00
-1.556114618547667305e+02,0.000000000000000000e+00
-1.507929629186112379e+02,0.000000000000000000e+00
-1.458619213507121231e+02,0.000000000000000000e+00
-1.412338348339322636e+02,0.000000000000000000e+00
-1.373757119028780380e+02,0.000000000000000000e+00
1.051207084825599622e+02,0.000000000000000000e+00
1.065019126180987712e+02,1.200000000000000284e+02
1.078636703094859399e+02,1.200000000000000284e+02
1.092048845612979733e+02,1.200000000000000284e+02
1.105245811316286506e+02,1.200000000000000284e+02
1.118219079717293596e+02,1.200000000000000284e+02
1.130961332942092383e+02,1.200000000000000284e+02
1.143466424324140576e+02,1.200000000000000284e+02
1.155729336636581763e+02,1.200000000000000284e+02
1.167746131724593397e+02,1.200000000000000284e+02
1.167746131724593397e+02,0.000000000000000000e+00
1.179513893276511567e+02,0.000000000000000000e+00
1.191030664402053958e+02,0.000000000000000000e+00
1.191030664402053958e+02,0.000000000000000000e+00
1.157801186492357317e+02,0.000000000000000000e+00
1.115148901323816517e+02,0.000000000000000000e+00
1.068012133486188304e+02,0.000000000000000000e+00
1.020619619075742435e+02,0.000000000000000000e+00
9.771587726948291674e+01,0.000000000000000000e+00
1.020619619075742435e+02,0.000000000000000000e+00
1.068012133486188304e+02,0.000000000000000000e+00
1.115148901323816517e+02,0.000000000000000000e+00
1.115148901323816517e+02,0.000000000000000000e+00
1.068012133486188304e+02,0.000000000000000000e+00
1.020619619075742435e+02,0.000000000000000000e+00
9.771587726948291674e+01,0.000000000000000000e+00
1.020619619075742435e+02,0.000000000000000000e+00
1.068012133486188304e+02,0.000000000000000000e+00
1.115148901323816517e+02,0.000000000000000000e+00
1.115148901323816517e+02,0.000000000000000000e+00
1.157801186492357317e+02,0.000000000000000000e+00
1.191030664402053958e+02,0.000000000000000000e+00
1.208552950745895487e+02,0.000000000000000000e+00
1.202594207125052037e+02,0.000000000000000000e+00
4.459889842219973843e+01,0.000000000000000000e+00
4.587188063541393035e+01,7.200000000000002842e+01
4.720219383270719504e+01,7.200000000000002842e+01
4.859226547528692208e+01,7.200000000000002842e+01
5.004446413190265730e+01,7.200000000000002842e+01
5.156105505264559952e+01,7.200000000000002842e+01
5.314414744195713070e+01,7.200000000000002842e+01
5.479563297371547037e+01,7.200000000000002842e+01
5.651711541734198363e+01,7.200000000000002842e+01
5.830983171303540757e+01,7.200000000000002842e+01
5.830983171303540757e+01,0.000000000000000000e+00
